channel/I:Ath/D:AthErr/D:sigma/D:sigmaErr/D:chi2ndf/D
0,0,0 224.245 2.89126 14.1534 1.2788 2.56878
0,0,1 189.364 1.3588 11.0069 1.09939 4.14824
0,0,2 161.648 1.47461 7.37479 1.45322 32.2233
0,0,3 184.54 3.89943 12.429 1.35948 3.7984
0,0,4 207.749 2.36794 12.5634 1.03554 2.15102
0,0,5 191.829 2.16518 8.65775 2.27266 6.38977
0,0,7 197.626 1.12053 15 0.283206 2.63623
0,0,8 175.546 2.23893 13.8395 1.05082 2.00228
0,0,9 183.278 2.31909 15 0.358916 2.93134
0,0,10 187.24 2.42051 12.5044 1.10253 2.54714
0,0,11 186.132 2.19179 15 0.854034 1.13917
0,0,12 197.643 1.69067 12.0145 1.03308 3.18387
0,0,13 176.137 6.26264 1.85392 12.7865 22.3371
0,0,14 182.992 1.66205 12.1384 0.786687 2.16726
0,0,15 186.245 1.13705 8.59037 0.804818 4.45767
0,0,17 346.233 0.29913 1.00263 11.8019 74.9048
0,0,19 195.928 3.61423 12.277 1.5338 3.97678
0,0,20 188.518 2.95539 8.74379 2.17917 8.18542
0,0,25 187.995 1.64674 8.91224 0.97598 3.78797
0,0,27 191.562 2.47604 11.0911 1.35777 3.73456
0,0,28 178.4 2.98636 14.9999 0.360842 7.86675
0,0,29 178.551 1.56984 10.7838 1.06633 2.57238
0,0,30 182.887 2.17441 8.84739 2.22586 9.06434
0,0,31 178.935 1.9047 10.5213 1.24823 3.1777
0,0,32 176.015 1.08033 5.24721 1.34512 8.27174
0,0,33 169.097 1.68269 8.98013 1.20065 4.67199
0,0,34 185.835 0.27758 1.00101 12.9605 4.03626
0,0,35 180.985 2.67397 12.0942 1.99202 3.76347
0,1,0 177.957 4.16744 15 8.76014 4.17205
0,1,1 189.754 0.739704 6.36544 1.14363 11.15
0,1,2 188.631 1.39211 6.60078 1.07976 5.05483
0,1,3 186.09 4.75883 2.02431 10.7426 11.2318
0,1,4 179.989 1.22157 6.84808 1.46239 5.59223
0,1,5 174.008 1.97098 8.02946 1.40976 6.87883
0,1,6 178.696 0.886472 6.6079 1.02757 7.06417
0,1,8 190.821 1.33612 6.0879 0.962992 5.61063
0,1,9 209.706 2.40313 15 0.564499 16.358
0,1,12 178.718 1.06848 6.5497 0.965755 5.40772
0,1,13 180.404 1.58161 15 2.21092 9.84166
0,1,14 190.52 1.0432 8.39283 0.807891 5.26101
0,1,15 175.345 3.17532 1.08863 12.7701 8.71583
0,1,16 194.67 1.14103 7.44896 0.80352 6.17881
0,1,17 193.281 5.27513 15 2.6193 9.05064
0,1,18 182.773 1.31885 8.73648 1.25855 4.2064
0,1,20 186.594 1.12373 6.7202 0.830298 5.50859
0,1,22 200.075 0.851961 6.20366 0.905705 8.88942
0,1,24 202.548 1.03424 8.83951 0.841954 9.72697
0,1,25 318.558 0.973368 1.94084 0.851961 52.4706
0,1,26 186.603 1.08058 8.67523 0.775656 4.57712
0,1,27 185.91 0.782916 1.0701 3.13779 10.471
0,1,28 199.665 1.41516 8.86625 0.887286 6.78156
0,1,30 188.874 1.02684 6.92862 1.46007 5.68481
0,1,32 188.303 0.97087 6.25903 0.890176 6.13016
0,1,33 180.791 1.7405 7.19485 1.36091 3.93224
0,1,35 173.208 4.10347 12.0813 1.92933 4.27866
0,2,0 160.053 3.68434 9.81174 3.28431 13.3554
0,2,1 162.659 0.951838 6.04856 0.702531 12.7018
0,2,3 185.276 2.60383 15 10.145 7.44527
0,2,4 169.763 1.83733 5.61651 1.06459 8.38127
0,2,5 177.957 2.83551 15 0.556373 9.97433
0,2,6 184.471 1.43304 6.79333 1.14874 13.3408
0,2,7 178.964 1.7988 5.8528 1.23335 13.459
0,2,8 175.78 5.75663 1.36468 11.9646 18.8718
0,2,9 165.389 2.27831 1.91802 12.897 31.4487
0,2,10 170.245 26.0908 1.00095 8.81508 37.5716
0,2,11 173.976 5.4344 1.24097 13.796 24.8802
0,2,12 192.403 0.630937 15 0.0404454 64.4475
0,2,13 180.292 1.03671 9.50118 1.17607 21.5905
0,2,14 160.762 10.3187 1.00044 8.63568 16.0318
0,2,15 165.774 5.17736 1.91234 13.5406 7.57592
0,2,16 185.887 0.305502 1.00227 11.5828 8.08562
0,2,17 187.142 2.99522 15 3.09249 10.8526
0,2,18 200.428 1.49819 15 0.312751 19.1213
0,2,19 173.913 2.04421 11.2526 1.84574 11.2786
0,2,20 178.475 1.49598 8.58015 1.33509 13.5943
0,2,21 185.887 3.49713 15 11.5678 13.8441
0,2,22 175.339 1.37863 8.57313 0.952688 10.4826
0,2,24 152.635 3.07236 6.62292 2.55206 8.25797
0,2,25 177.177 2.11081 8.37544 1.34502 8.72707
0,2,26 161.157 2.25215 7.35633 1.61422 9.61022
