channel/I:Ath/D:AthErr/D:sigma/D:sigmaErr/D:chi2ndf/D
0,0,0 224.248 2.88236 14.1539 1.27705 2.56878
0,0,1 194.368 3.49921 12.676 1.28322 4.02363
0,0,2 192.59 1.60275 15 0.43868 1.41084
0,0,3 184.545 3.8208 12.4312 1.35458 3.7984
0,0,4 207.754 2.34173 12.5646 1.03215 2.15102
0,0,5 191.826 2.15993 8.65611 2.2692 6.38977
0,0,6 193.404 2.81147 14.8303 2.21055 1.9071
0,0,7 197.626 1.11502 15 0.283159 2.63623
0,0,8 175.545 2.22188 13.8396 1.0458 2.00228
0,0,9 183.278 2.25223 15 0.358904 2.93134
0,0,10 187.24 2.41539 12.5057 1.10158 2.54714
0,0,11 186.135 2.22208 15 0.833211 1.13917
0,0,12 197.641 1.68988 12.013 1.03185 3.18387
0,0,13 187.556 3.60566 8.66575 2.5081 5.09212
0,0,14 182.99 1.67868 12.1375 0.789086 2.16726
0,0,15 186.244 1.144 8.58991 0.805204 4.45767
0,0,16 182.94 0.781222 5.2997 0.649507 6.96486
0,0,17 188.066 2.48376 11.6074 1.13026 2.8746
0,0,18 199.053 3.05212 14.6017 2.61552 5.48653
0,0,19 195.925 3.64311 12.2762 1.54142 3.97678
0,0,20 201.319 2.84908 13.9319 1.48597 8.28872
0,0,21 182.55 1.87187 9.53268 1.56911 3.44578
0,0,23 177.232 1.13569 9.53384 0.774031 5.8914
0,0,24 168.536 1.12196 4.85772 1.82232 7.32595
0,0,25 187.994 1.64912 8.91191 0.976404 3.78797
0,0,26 179.909 0.970432 15 0.243466 9.5779
0,0,27 191.562 2.37371 11.0919 1.33585 3.73456
0,0,28 187.973 1.1984 15 0.155081 9.08997
0,0,29 178.551 1.56308 10.7836 1.0635 2.57238
0,0,30 198.313 0.984082 15 0.210928 10.0342
0,0,31 178.933 1.90747 10.5212 1.24907 3.1777
0,0,32 194.169 1.05488 15 0.27409 11.6988
0,0,33 169.096 1.67797 8.97946 1.19935 4.67199
0,0,34 189.364 2.37121 4.9785 2.39553 4.02652
0,0,35 180.983 2.57677 12.0932 1.9639 3.76347
0,1,0 177.957 4.14227 15 8.76709 4.17205
0,1,1 189.782 0.823226 6.38106 1.17387 11.1496
0,1,2 188.63 1.39013 6.60121 1.07956 5.05483
0,1,3 190.033 0.933044 6.80076 1.43642 12.8485
0,1,4 182.446 2.09049 7.4863 1.32072 5.44289
0,1,5 179.142 1.83998 10.3293 1.73589 7.47307
0,1,6 178.696 0.88633 6.60703 1.0281 7.06417
0,1,7 199.138 2.13993 13.6058 1.79087 11.3221
0,1,8 190.822 1.31731 6.08799 0.959983 5.61063
0,1,9 210.415 1.25814 15 0.458395 16.3651
0,1,10 165.71 0.433821 1.00208 13.5598 3.65491
0,1,11 178.226 0.965526 7.29695 1.88881 9.94749
0,1,12 178.718 1.06849 6.54995 0.965861 5.40772
0,1,13 180.405 1.58249 15 2.20472 9.84166
0,1,14 190.52 1.04351 8.39242 0.807936 5.26101
0,1,15 191.854 3.33076 14.4531 2.7188 9.03752
0,1,16 194.671 1.13076 7.44891 0.802696 6.17881
0,1,18 185.223 2.01715 9.04746 1.23159 4.05176
0,1,20 186.593 1.12712 6.72026 0.8304 5.50859
0,1,22 200.075 0.854687 6.20337 0.907307 8.88942
0,1,24 202.549 1.04332 8.83919 0.842491 9.72697
0,1,26 186.604 1.08148 8.67581 0.776234 4.57712
0,1,27 195.38 1.76093 8.39982 1.17199 9.1383
0,1,28 199.664 1.39552 8.8671 0.884835 6.78156
0,1,29 176.123 3.52432 1.006 10.5801 5.74977
0,1,30 188.871 1.02558 6.92767 1.45967 5.68481
0,1,31 176.551 4.16257 1.24935 10.281 6.98747
0,1,32 188.303 0.971835 6.25902 0.890234 6.13016
0,1,33 180.791 1.739 7.19607 1.36025 3.93224
0,1,34 175.58 2.87451 7.0509 2.03697 3.29108
0,1,35 173.201 4.10006 12.0778 1.92886 4.27866
0,2,0 186.473 0.863437 15 0.124624 17.6422
0,2,1 165.87 0.95752 7.57646 1.06502 14.4951
0,2,2 155.558 1.24633 10.021 1.08557 36.8533
0,2,3 195.029 0.862865 15 0.164221 8.49123
0,2,4 188.91 0.821964 15 0.121362 12.1523
0,2,5 190.254 0.784652 15 0.0568253 14.8757
0,2,6 203.939 0.71929 15 0.101602 19.4627
0,2,7 200.496 0.685105 15 0.0656048 19.9901
0,2,8 193.619 1.38704 15 0.128091 34.1485
0,2,9 195.158 0.505013 15 0.00775793 92.0847
0,2,10 170.205 218.812 1.00016 12.9927 48.9497
0,2,11 170.394 14.4182 1.01405 10.9446 26.3175
0,2,12 211.355 0.38535 15 0.00502242 122.054
0,2,13 204.193 0.590588 15 0.0118109 61.8716
0,2,14 191.456 0.734812 15 0.0249261 32.2803
